,Recon
469,1.1936671733856201
470,1.1671983003616333
471,1.1327382326126099
472,1.1551668643951416
473,1.1780307292938232
474,1.1354296207427979
475,1.1732239723205566
476,1.168474793434143
477,1.2243324518203735
478,1.1460645198822021
479,1.0917723178863525
480,1.155205488204956
481,1.1724294424057007
482,1.1712498664855957
483,1.17046058177948
484,1.129059076309204
485,1.1949944496154785
486,1.1601648330688477
487,1.1327130794525146
488,1.1617939472198486
489,1.188624620437622
490,1.213098406791687
491,1.1775856018066406
492,1.178322672843933
493,1.1994550228118896
494,1.1553398370742798
495,1.149927020072937
496,1.1534675359725952
497,1.1827547550201416
498,1.1331186294555664
499,1.2255722284317017
500,1.1270681619644165
501,1.1041511297225952
502,1.1316474676132202
503,1.1630579233169556
504,1.1300759315490723
505,1.1415022611618042
506,1.095945119857788
507,1.1726824045181274
508,1.0808539390563965
509,1.1804944276809692
510,1.1510571241378784
511,1.1928428411483765
512,1.0871511697769165
513,1.0735381841659546
514,1.1620609760284424
515,1.1597251892089844
516,1.1144194602966309
517,1.1305989027023315
518,1.2001477479934692
519,1.1466470956802368
520,1.0906721353530884
521,1.074901819229126
522,1.1708142757415771
523,1.1040189266204834
524,1.1048622131347656
525,1.112918496131897
526,1.1454670429229736
527,1.129104733467102
528,1.145107388496399
529,1.1892353296279907
530,1.1216082572937012
531,1.0995358228683472
532,1.087355375289917
533,1.1404987573623657
