anc_idx,aug_idx,distance
33,20169,3.6819414825350893
34,20170,8.337963551389809
34,20171,11.371849643716876
34,20172,3.9195885074597023
34,20173,3.8228250122473626
34,20174,1.8607520927583183
35,20175,5.279466580081192
35,20176,2.8007896211979872
35,20177,4.175428077042823
35,20178,4.441973675658786
35,20179,2.994056262204495
36,20180,1.8061305246120645
36,20181,2.303415981898674
36,20182,5.662180165466432
36,20183,6.5963984747863265
36,20184,3.918962287058073
37,20185,2.154784998492856
37,20186,12.368430969153476
37,20187,7.5306834597906285
37,20188,4.452926667192881
37,20189,3.6092855114185003
38,20190,1.9571232316357117
38,20191,2.8148506536188678
38,20192,2.9192524389372787
38,20193,2.9192524389372787
38,20194,4.330215350408362
39,20195,2.6680151200034894
39,20196,1.7769800132288227
39,20197,2.9615946067071293
39,20198,4.549815303587867
39,20199,2.0804513020066713
40,20200,4.324545578076433
40,20201,4.454132249390222
40,20202,3.137020378836105
40,20203,3.8952178294581405
40,20204,5.163737206668244
41,20205,3.772474432843841
41,20206,2.002079393719577
41,20207,2.393348702688192
41,20208,2.404251522410016
41,20209,1.735352673252493
42,20210,3.2925043208460307
42,20211,5.324667998410897
42,20212,6.966105700545112
42,20213,2.375837790112925
42,20214,2.037047642054063
43,20215,2.8642305664532364
43,20216,2.8743771252938703
43,20217,2.8615231688360483
43,20218,4.483720153497881
43,20219,4.643689407536373
44,20220,2.6388657702563654
44,20221,3.5732373682030256
44,20222,2.28708115714214
44,20223,11.02250851156777
44,20224,3.9016878242171424
45,20225,4.1783744502025195
45,20226,5.642007721270679
45,20227,3.229871097979677
45,20228,3.6430392999922674
45,20229,4.548265731044413
46,20230,2.520759957972787
46,20231,3.214971306044397
46,20232,3.717505702426556
46,20233,4.161753275521111
46,20234,3.717505702426556
47,20235,2.3150852295376287
47,20236,2.3150852295376287
47,20237,2.2642985809716936
47,20238,4.896850487610266
47,20239,1.9446563811717188
48,20240,6.613018970631511
48,20241,3.1839821555887244
48,20242,2.879325092426726
48,20243,2.084398839456248
48,20244,4.047985920212015
49,20245,2.4734511679586793
49,20246,4.457473504082375
49,20247,1.8831094015804735
49,20248,2.372875623351799
49,20249,2.4734511679586793
50,20250,3.132869970836179
50,20251,4.0076983060983356
50,20252,2.1310692801464057
50,20253,2.6705874023094234
50,20254,2.24234511401095
51,20255,3.6573234852437184
51,20256,2.280477400220485
51,20257,2.16069841490114
51,20258,4.672594634728774
51,20259,2.3643745865881427
52,20260,5.160559090586398
52,20261,2.764280584869268
52,20262,4.794017482800245
52,20263,4.971674466313019
52,20264,2.446132878402076
53,20265,4.028969389034872
53,20266,2.6580716929396786
53,20267,1.7916626045804325
53,20268,4.696006837640344
53,20269,3.7773690779288267
54,20270,8.278016443358005
54,20271,1.0598225742644947
54,20272,2.296303681578275
54,20273,2.038499652189794
54,20274,3.875069131608259
55,20275,2.525137727761523
55,20276,2.4967137631556846
55,20277,8.834107114158803
55,20278,2.1398470813105783
55,20279,1.4787216907465952
56,20280,3.5137526463832627
56,20281,2.191131753312763
56,20282,3.1784085151671424
56,20283,5.550082165220219
56,20284,5.199955997064509
57,20285,2.473950017799553
57,20286,3.441777535922034
57,20287,4.579884959379037
57,20288,4.899161706211241
57,20289,2.3161918085951947
58,20290,5.159483230776664
58,20291,2.6683401443415047
58,20292,2.756189267713585
58,20293,2.8060136696610973
58,20294,4.455039496110101
59,20295,4.343685066337926
59,20296,4.364015037322998
59,20297,3.8381636886272466
59,20298,3.722250616666557
59,20299,5.127808081776505
60,20300,4.700454646975457
60,20301,2.1676444839996742
60,20302,2.2233567531393565
60,20303,2.5055696837696733
60,20304,8.497495176397543
61,20305,4.542557308847382
61,20306,2.6960502205786003
61,20307,4.207508443291203
61,20308,3.524906227866909
61,20309,2.5837003330742343
62,20310,1.8679890124691516
62,20311,4.7594968392535595
62,20312,2.1546096736785754
62,20313,3.0485182148876047
62,20314,3.3617677878311176
63,20315,3.45426042300378
63,20316,3.391693357559407
63,20317,3.45426042300378
63,20318,4.363961724298912
63,20319,2.2322193794512915
64,20320,2.018504548788124
64,20321,3.398880674799683
64,20322,3.569010292963288
64,20323,3.838948671203482
64,20324,3.883368824051266
65,20325,2.028765639649146
65,20326,3.3235057383145414
65,20327,2.9579089257968745
65,20328,5.033009079622098
65,20329,3.2737395645005476
66,20330,1.7576268570112632
66,20331,2.1409663471840283
66,20332,8.604341488320449
66,20333,3.6970313463228783
66,20334,1.7134901944020497
67,20335,2.648664229176934
67,20336,1.7192528605280974
67,20337,4.4141563371794685
